Precinct,I,U,Z,A,P,W,Q,B,Grand Total
1,,,,,12,15,13,48,88
5,3,3,6,14,21,51,71,106,275
6,,2,,2,6,19,10,68,107
7,1,1,8,10,32,26,109,146,333
9,1,10,18,25,45,112,172,211,594
10,,,1,2,5,24,43,72,147
13,,5,4,12,26,130,103,211,491
14,1,1,,22,32,97,100,304,557
17,1,1,1,3,12,31,33,71,153
18,,2,,9,8,29,16,77,141
19,,3,1,12,20,77,94,179,386
20,2,3,,7,24,66,56,129,287
22,,,,6,9,9,12,47,83
23,1,2,34,3,57,30,191,401,719
24,,,1,1,31,20,53,138,244
25,1,22,125,4,46,26,104,434,762
26,1,4,5,1,15,6,32,126,190
28,,9,2,1,14,3,19,223,271
30,1,,15,6,49,13,95,140,319
32,,1,2,2,12,8,39,352,416
33,,4,5,2,84,12,113,80,300
34,1,1,15,3,132,18,172,51,393
40,1,1,25,6,98,15,340,412,898
41,2,,30,2,128,10,408,435,1015
42,1,1,35,1,55,8,187,410,698
43,3,4,8,5,45,2,127,233,427
44,2,2,2,2,200,15,383,724,1330
45,2,3,,6,40,43,86,118,298
46,,,3,,60,4,123,158,348
47,2,4,6,4,23,6,58,259,362
48,,,9,1,17,5,34,69,135
49,1,9,,5,23,55,144,238,475
50,1,,1,5,65,34,111,84,301
52,1,4,35,4,122,11,194,165,536
60,3,1,1,11,33,134,103,405,691
61,1,3,,8,2,65,24,93,196
62,3,9,1,64,30,294,156,61,618
63,,,,2,3,33,2,192,232
66,7,30,11,79,55,228,333,189,932
67,,,14,14,8,12,15,1185,1248
68,1,2,,6,7,56,27,10,109
69,,1,,6,4,17,21,784,833
70,,,,22,11,43,22,500,598
71,1,10,3,3,11,11,12,495,546
72,1,5,10,20,20,14,84,41,195
73,,,15,4,23,7,62,755,866
75,,10,15,12,50,15,119,696,917
76,,2,6,7,23,65,133,192,428
77,,2,2,,7,13,19,330,373
78,,1,7,6,8,15,37,93,167
79,1,4,52,12,34,30,117,1202,1452
81,,13,4,3,8,4,25,209,266
83,,3,15,6,65,28,215,222,554
84,3,4,2,36,44,85,215,676,1065
88,1,1,3,3,21,16,31,270,346
90,,4,6,11,77,40,224,243,605
94,1,,,4,8,50,28,43,134
100,,,1,3,4,34,27,131,200
101,9,21,,6,43,33,134,1240,1486
102,7,,7,221,78,118,580,170,1181
103,8,1,3,24,16,17,35,221,325
104,1,,5,9,34,150,225,73,497
105,6,7,,130,27,59,132,1347,1708
106,24,,53,686,47,321,398,699,2228
107,39,1,29,233,41,255,293,475,1366
108,1,1,,13,10,30,65,46,166
109,4,11,3,151,51,166,279,206,871
110,1,1,1,8,18,14,149,47,239
111,3,5,,62,38,181,132,103,524
112,4,7,,47,34,261,187,110,650
113,5,1,8,6,5,11,19,621,676
114,9,19,6,70,42,164,295,413,1018
115,1,,,9,17,13,122,43,205
120,6,1,18,10,90,172,298,1339,1934
121,9,9,3,27,56,336,299,1078,1817
122,2,,34,35,10,579,139,126,925
123,,8,4,4,8,248,23,26,321
Grand Total,192,300,739,2281,2789,5467,9700,24319,45787